Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part Number
BOOT_BUTTON,188.24,114.75,180,BOOT_BUTTON,MYBUTTON,
C1,324.83,10.81,90,100nF,EAGLE-LTSPICE_C0402,
C10,224.83,114.55,270,100nF,EAGLE-LTSPICE_C0402,
C10_SUPERCAP,261.46,54.63,90,CPH3225A,CAPCP3225X100N,
C1_BAT,278.85,46.97,90,4.7uF,EAGLE-LTSPICE_C0402,
C1_BAT1,236.48,26.12,90,4.7uF,EAGLE-LTSPICE_C0402,
C1_BAT2,233.98,20.48,90,4.7uF,EAGLE-LTSPICE_C0402,
C2,323.56,10.81,90,100nF,EAGLE-LTSPICE_C0402,
C2_BAT,287.58,52.25,90,4.7uF,EAGLE-LTSPICE_C0402,
C3,291.39,45.9,90,100uF TANT,RCL_CT3528,
C4,259.62,40.24,90,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C4_USB,310.89,55.74,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C5,209.93,114.55,90,1uF,EAGLE-LTSPICE_C0402,
C5_USB,317.51,57.98,90,4.7uF,EAGLE-LTSPICE_C0402,
C6,191.57,114.65,90,100nF,EAGLE-LTSPICE_C0402,
C7,238.03,33.24,90,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C8,258.92,54.63,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C9,170.95,106.44,90,100nF,EAGLE-LTSPICE_C0402,
CHANGE_BUTTON,228.14,114.75,180,CHANGE_BUTTON,MYBUTTON,
CHG_LED,285.04,56.06,90,,ADAFRUIT_CHIP-LED0603,
C_DELAY,216.17,110.23,90,100nF,EAGLE-LTSPICE_C0402,
D1,314.7,55.74,0,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,204.56,40.39,90,PGB1010603MR,DIOC1608X36N,
D11,210.21,40.39,90,PGB1010603MR,DIOC1608X36N,
D12,208.37,40.39,90,PGB1010603MR,DIOC1608X36N,
D2,239.86,29.79,0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D3,246.05,41.63,0,MBR0530,SOD3716X135N,
D4,256.24,36.01,0,MBR0530,SOD3716X135N,
D5,256.24,39.5,0,MBR0530,SOD3716X135N,
D6,177.3,103.9,180,PGB1010603MR,DIOC1608X36N,
D7,255.11,68.6,0,SD0805S020S1R0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,
D8,280.69,46.97,90,PGB1010603MR,DIOC1608X36N,
D9,198.93,57.91,90,PGB1010603MR,DIOC1608X36N,
EPD_C1,253.98,29.22,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C10,244.11,29.22,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C11,241.4,26.1,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C12,236.87,23.52,180,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C2,252.36,29.22,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C5,250.69,29.22,90,0.1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C6,249.03,29.22,270,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C7,247.41,29.22,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C8,245.78,29.24,270,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C9,239.45,33.29,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
IC1,213.46,109.43,0,BD5229G-TR,SOT95P280X125-5N,
IC4,286,47.07,0,XC6220A331MR-G,SOT95P280X120-5N,
J1,248.96,21.47,0,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99,
J2,330.87,60.12,90,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA,
J3,331.29,25.08,90,QWIIC_RIGHT_ANGLE,JST04_1MM_RA,
J4,172.55,94.68,270,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND,
L1,245.75,36.95,270,68uH,IND_4828-WE-TPC_WRE,
MCP73831,288.85,56.06,90,,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,
PFMF.050.1,313.43,47.25,0,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812,
Q1,242.12,33.14,270,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q2,296.43,52.2,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q3,232.97,24.82,90,SI1308EDL-T1-GE3,SOT65P210X110-3N,
R1,183.3,50.4,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R10,292.93,57.26,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_BAT,285.04,54.79,0,200,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH,322.29,10.81,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH1,253.84,50.82,180,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PWRUSB,238.05,26.12,90,100k,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2,173.52,106.44,270,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-PINH,321.02,10.81,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-PINH1,258.92,63.52,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB,314.7,52.33,0,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB1,314.7,51.06,0,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_BAT,282.23,44.46,0,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R3,245.21,32,0,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R4,231.57,21.54,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R5,197.06,57.91,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R6,208.26,36.88,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R7,209.61,36.88,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R8,204.87,37.08,270,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R9,295,47.33,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
RESET_BUTTON,213.16,114.75,180,RESET_BUTTON,MYBUTTON,
R_BOOT,184.65,114.62,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
